YY,flag_code,LAT5,LON5,HHOOKS,ALB_C,ALB_N,YFT_C,YFT_N,BET_C,BET_N,MLS_C,MLS_N,BLM_C,BLM_N,BUM_C,BUM_N,SWO_C,SWO_N,OTH_C,OTH_N
1951,  ,05N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,  ,05N,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,  ,05N,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,  ,05N,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,  ,05N,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,  ,05N,170E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,  ,05N,175E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,  ,10N,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,  ,10N,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,  ,10N,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,  ,10N,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,  ,10N,170E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,  ,10N,175E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,  ,15N,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,  ,20N,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,  ,20N,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,  ,20N,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,  ,25N,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,  ,25N,170E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,00N,115E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,00N,120E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,00N,125E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,00N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,00N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,00N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,00N,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,00N,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,00N,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,00N,160W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,00N,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,00N,165W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,00N,170E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,00N,170W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,00N,175E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,00N,175W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,00N,180W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05N,115E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05N,120E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05N,125E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05N,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05N,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05N,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05N,160W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05N,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05N,165W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05N,170E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05N,170W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05N,175E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05N,180W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05S,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05S,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05S,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05S,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05S,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05S,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,05S,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,10N,115E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,10N,120E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,10N,125E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,10N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,10N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,10N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,10N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,10N,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,10N,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,10N,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,10N,165W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,10N,170E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,10N,170W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,10N,175E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,10N,175W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,10S,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,10S,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,10S,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,10S,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,15N,115E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,15N,120E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,15N,125E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,15N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,15N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,15N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,15N,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,15N,170W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,15N,180W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,15S,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,15S,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,15S,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,20N,120E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,20N,125E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,20N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,20N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,20N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,20N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,20N,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,20N,170W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,20N,180W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,20S,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,25N,120E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,25N,125E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,25N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,25N,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,25N,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,25N,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,25N,170E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,25N,170W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,25N,175E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,25N,175W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,25N,180W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,30N,120E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,30N,125E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,30N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,30N,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,30N,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,30N,170E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,30N,180W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,35N,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,35N,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,35N,170E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,35N,175E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,35S,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,40N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,40N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,40N,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,40N,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,40N,170E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,  ,45N,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,JP,00N,135E,19585.82,83.277,3983,1982.871,69619,511.335,12470,2.387,31,8.662,256,246.366,4215,11.79,249,2002.666,71565
1952,JP,05N,175W,21398.65,9.771,457,319.82,10239,1848.744,45089,9.703,126,2.808,83,928.011,15877,5.682,120,347.459,13513
1952,JP,10N,180W,24404.74,136.376,5404,245.948,7599,2729.552,66571,22.333,290,3.654,108,556.97,9529,7.387,156,254.604,8569
1952,JP,25N,135E,39507.83,2205.846,130939,46.423,1736,195.635,7491,427.867,5556,0,0,11.691,200,101.945,2153,129.348,3891
1952,JP,25N,140E,31218.7,1560.191,80341,90.163,3945,187.789,4580,825.623,10721,0.271,8,47.052,805,136.604,2885,128.081,5372
1952,JP,25N,145E,29151.7,1510.381,77776,26.901,1177,164.419,4010,380.66,4943,0.338,10,17.125,293,240.206,5073,35.605,1684
1952,JP,25N,150E,34526.53,1032.173,53151,11.063,484,268.277,6543,257.213,3340,1.658,49,24.725,423,727.106,15356,13.269,885
1952,JP,30N,135E,26851.79,963.884,65072,53.813,1737,572.102,13953,127.22,1652,0,0,2.98,51,88.733,1874,64.625,2045
1952,JP,30N,140E,70701.85,3803.252,270951,71.732,2596,1064.169,25954,159.411,2070,0.406,12,5.378,92,717.4,15151,107.372,3779
1952,JP,30N,145E,52017.76,844.404,60157,9.284,336,1059.74,25846,80.783,1049,0,0,4.092,70,1287.968,27201,14.715,541
1952,JP,30N,150E,37295.18,1757.955,125240,27.438,993,755.34,18422,261.528,3396,0,0,12.392,212,405.127,8556,29.266,1163
1952,JP,30N,155E,36831.12,2368.732,168753,34.953,1265,926.28,22591,268.995,3493,0,0,21.51,368,179.647,3794,36.32,1431
1952,JP,30N,175E,21700.48,1423.877,75287,6.825,183,684.161,16686,158.795,2062,0,0,3.623,62,89.682,1894,21.32,925
1952,JP,35N,140E,84541.7,1113.951,79360,41.89,1516,700.849,17093,134.537,1747,0.169,5,5.962,102,1096.39,23155,499.065,12952
1952,JP,35N,145E,34014.35,345.161,24590,6.962,252,334.578,8160,75.7,983,0,0,2.105,36,672.276,14198,89.694,2353
1952,JP,35N,150E,26251.4,427.978,30490,14.617,529,624.749,15237,285.013,3701,0.507,15,20.575,352,413.319,8729,19.562,802
1952,JP,35N,155E,25791.57,278.838,19865,25.338,917,882.94,21534,591.13,7676,0.507,15,48.162,824,141.387,2986,26.661,1057
1952,JP,40N,150E,32683.99,23.617,1820,0.596,19,30.546,745,126.143,1638,0.169,5,2.046,35,456.408,9639,18.615,470
1952,JP,40N,155E,27412.64,10.082,777,0,0,55.188,1346,91.256,1185,0,0,3.331,57,674.123,14237,3.915,97
1953,  ,00N,125E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,00N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,00N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,00N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,00N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,00N,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,00N,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,00N,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,00N,160W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,00N,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,00N,165W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,00N,170E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,00N,170W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,00N,175E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,00N,175W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,00N,180W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05N,125E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05N,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05N,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05N,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05N,160W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05N,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05N,165W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05N,170E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05N,170W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05N,175E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05N,175W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05S,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05S,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05S,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05S,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05S,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05S,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05S,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05S,165W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05S,170E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05S,170W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05S,175E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05S,175W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,05S,180W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10N,110E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10N,115E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10N,120E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10N,125E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10N,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10N,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10N,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10N,165W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10N,170E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10N,170W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10N,175E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10N,175W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10S,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10S,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10S,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10S,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10S,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10S,175E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,10S,175W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,15N,115E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,15N,120E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,15N,125E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,15N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,15N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,15N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,15S,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,15S,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,15S,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,15S,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,15S,170E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,15S,175E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,20N,115E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,20N,120E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,20N,125E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,20N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,20N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,20N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,20N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,20N,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,20N,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,20N,175W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,20S,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,20S,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,20S,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,20S,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,20S,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,20S,170E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,20S,175E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,25N,120E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,25N,125E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,25N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,25N,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,25N,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,25N,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,25N,165W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,25N,170E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,25N,170W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,25N,175E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,25N,175W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,25N,180W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,25S,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,25S,155E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,30N,120E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,30N,125E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,30N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,30N,160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,30N,165E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,30N,165W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,  ,30N,170E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
